"","Year","Month","co2","Temperature","Date"
"278",1997,7,364.1075,0.73,1997-07-01
"279",1997,8,361.998,0.63,1997-08-01
"280",1997,9,360.07,0.71,1997-09-01
"281",1997,10,360.8925,0.66,1997-10-01
"282",1997,11,362.786,0.73,1997-11-01
"283",1997,12,364.5375,0.69,1997-12-01
"284",1998,1,365.275,0.83,1998-01-01
"285",1998,2,365.9825,1,1998-02-01
"286",1998,3,367.434,0.77,1998-03-01
"287",1998,4,368.6775,1.1,1998-04-01
"288",1998,5,369.434,0.93,1998-05-01
"289",1998,6,368.72,0.91,1998-06-01
"290",1998,7,367.785,0.76,1998-07-01
"291",1998,8,365.75,0.75,1998-08-01
"292",1998,9,363.885,0.6,1998-09-01
"293",1998,10,364.43,0.69,1998-10-01
"294",1998,11,365.738,0.77,1998-11-01
"295",1998,12,367.215,0.55,1998-12-01
"296",1999,1,368.414,0.48,1999-01-01
"297",1999,2,368.71,0.51,1999-02-01
"298",1999,3,370.16,0.39,1999-03-01
"299",1999,4,371.0325,0.44,1999-04-01
"300",1999,5,370.92,0.3,1999-05-01
"301",1999,6,370.1175,0.3,1999-06-01
"302",1999,7,369.385,0.26,1999-07-01
"303",1999,8,366.62,0.23,1999-08-01
"304",1999,9,364.81,0.43,1999-09-01
"305",1999,10,365.514,0.29,1999-10-01
"306",1999,11,366.9825,0.47,1999-11-01
"307",1999,12,368.19,0.33,1999-12-01
"308",2000,1,369.396,0.4,2000-01-01
"309",2000,2,369.765,0.09,2000-02-01
"310",2000,3,370.6925,0.3,2000-03-01
"311",2000,4,371.644,0.56,2000-04-01
"312",2000,5,371.8325,0.61,2000-05-01
"313",2000,6,371.6575,0.38,2000-06-01
"314",2000,7,369.686,0.6,2000-07-01
"315",2000,8,367.9625,0.48,2000-08-01
"316",2000,9,366.9575,0.45,2000-09-01
"317",2000,10,367.138,0.48,2000-10-01
"318",2000,11,368.4525,0.42,2000-11-01
"319",2000,12,369.802,0.49,2000-12-01
"320",2001,1,370.7125,0.46,2001-01-01
"321",2001,2,371.6875,0.6,2001-02-01
"322",2001,3,372.4,0.67,2001-03-01
"323",2001,4,373.382,0.72,2001-04-01
"324",2001,5,373.86,0.66,2001-05-01
"325",2001,6,373.1625,0.52,2001-06-01
"326",2001,7,371.374,0.67,2001-07-01
"327",2001,8,369.43,0.76,2001-08-01
"328",2001,9,368.164,0.79,2001-09-01
"329",2001,10,368.575,0.72,2001-10-01
"330",2001,11,369.895,0.63,2001-11-01
"331",2001,12,371.432,1.08,2001-12-01
"332",2002,1,372.585,0.57,2002-01-01
"333",2002,2,373.1925,0.62,2002-02-01
"334",2002,3,374.238,0.8,2002-03-01
"335",2002,4,375.305,0.8,2002-04-01
"336",2002,5,375.71,0.78,2002-05-01
"337",2002,6,375.378,0.82,2002-06-01
"338",2002,7,373.7875,0.97,2002-07-01
"339",2002,8,371.66,0.7,2002-08-01
"340",2002,9,370.62,0.77,2002-09-01
"341",2002,10,370.7225,0.86,2002-10-01
"342",2002,11,372.3325,0.58,2002-11-01
"343",2002,12,373.872,0.95,2002-12-01
"344",2003,1,374.9475,0.73,2003-01-01
"345",2003,2,375.67,0.98,2003-02-01
"346",2003,3,376.494,0.7,2003-03-01
"347",2003,4,377.975,0.9,2003-04-01
"348",2003,5,378.5725,0.89,2003-05-01
"349",2003,6,378.184,0.59,2003-06-01
"350",2003,7,376.525,0.62,2003-07-01
"351",2003,8,374.03,0.76,2003-08-01
"352",2003,9,373.1575,0.65,2003-09-01
"353",2003,10,373.135,0.86,2003-10-01
"354",2003,11,374.792,0.87,2003-11-01
"355",2003,12,376.1425,0.6,2003-12-01
"356",2004,1,377.09,0.74,2004-01-01
"357",2004,2,377.94,0.74,2004-02-01
"358",2004,3,379.1025,1,2004-03-01
"359",2004,4,380.4375,0.75,2004-04-01
"360",2004,5,380.538,0.63,2004-05-01
"361",2004,6,379.69,0.71,2004-06-01
"362",2004,7,377.345,0.69,2004-07-01
"363",2004,8,375.774,0.84,2004-08-01
"364",2004,9,374.3,0.79,2004-09-01
"365",2004,10,374.608,0.77,2004-10-01
"366",2004,11,376.4475,0.79,2004-11-01
"367",2004,12,377.5975,0.73,2004-12-01
"368",2005,1,378.61,0.56,2005-01-01
"369",2005,2,380.095,0.89,2005-02-01
"370",2005,3,380.83,0.87,2005-03-01
"371",2005,4,382.2875,1.04,2005-04-01
"372",2005,5,382.47,0.8,2005-05-01
"373",2005,6,382.0875,0.78,2005-06-01
"374",2005,7,380.534,0.87,2005-07-01
"375",2005,8,378.42,0.85,2005-08-01
"376",2005,9,376.5725,0.95,2005-09-01
"377",2005,10,377.22,0.69,2005-10-01
"378",2005,11,378.575,0.76,2005-11-01
"379",2005,12,380.21,0.8,2005-12-01
